x,NH3,C7H16,O2,N2,p,T
0,1.67982e-322,1,0,0,6.10255e+06,363
2e-05,0,1,0,0,6.10255e+06,363
4e-05,1.63042e-322,1,1.4822e-322,3.33067e-16,6.10255e+06,363
6e-05,1.58101e-322,1,1.33398e-322,3.33067e-16,6.10255e+06,363
8e-05,3.45846e-323,1,0,2.22045e-16,6.10255e+06,363
0.0001,0,1,1.72923e-322,6.66134e-16,6.10255e+06,363
0.00012,0,1,0,4.44089e-16,6.10255e+06,363
0.00014,0,1,0,3.33067e-16,6.10255e+06,363
0.00016,0,1,1.58101e-322,2.22045e-16,6.10255e+06,363
0.00018,0,1,0,3.33067e-16,6.10255e+06,363
0.0002,1.97626e-323,1,0,1.11022e-15,6.10255e+06,363
0.00022,2.47033e-323,1,0,9.99201e-16,6.10255e+06,363
0.00024,0,1,1.5316e-322,1.22125e-15,6.10255e+06,363
0.00026,1.38338e-322,1,0,1.55431e-15,6.10255e+06,363
0.00028,3.95253e-323,1,1.33398e-322,9.99201e-16,6.10255e+06,363
0.0003,1.28457e-322,1,0,1.33227e-15,6.10255e+06,363
0.00032,1.43279e-322,1,0,1.22125e-15,6.10255e+06,363
0.00034,2.47033e-323,1,0,1.33227e-15,6.10255e+06,363
0.00036,1.33398e-322,1,0,1.77636e-15,6.10255e+06,363
0.00038,1.97626e-323,1,0,1.44329e-15,6.10255e+06,363
0.0004,1.67982e-322,1,0,1.33227e-15,6.10255e+06,363
0.00042,0,1,1.23516e-322,1.55431e-15,6.10255e+06,363
0.00044,0,1,0,1.77636e-15,6.10255e+06,363
0.00046,0,1,1.43279e-322,1.22125e-15,6.10255e+06,363
0.00048,0,1,1.58101e-322,1.33227e-15,6.10255e+06,363
0.0005,0,1,0,1.66533e-15,6.10255e+06,363
0.00052,1.38338e-322,1,0,1.11022e-15,6.10255e+06,363
0.00054,0,1,0,1.44329e-15,6.10255e+06,363
0.00056,1.38338e-322,1,1.38338e-322,1.77636e-15,6.10255e+06,363
0.00058,0,1,0,1.44329e-15,6.10255e+06,363
0.0006,0,1,1.33398e-322,1.55431e-15,6.10255e+06,363
0.00062,0,1,3.70549e-322,1.11022e-15,6.10255e+06,363
0.00064,0,1,6.42285e-322,1.44329e-15,6.10255e+06,363
0.00066,0,1,3.31024e-322,1.44329e-15,6.10255e+06,363
0.00068,1.58101e-322,1,6.62048e-322,1.33227e-15,6.10255e+06,363
0.0007,2.47033e-323,1,3.50787e-322,9.99201e-16,6.10255e+06,363
0.00072,0,1,6.66989e-322,1.33227e-15,6.10255e+06,363
0.00074,0,1,4.5454e-322,1.33227e-15,6.10255e+06,363
0.00076,0,1,6.52167e-322,1.44329e-15,6.10255e+06,363
0.00078,0,1,8.54734e-322,1.44329e-15,6.10255e+06,363
0.0008,0,1,1.16599e-321,1.22125e-15,6.10255e+06,363
0.00082,0,1,1.15117e-321,1.22125e-15,6.10255e+06,363
0.00084,0,1,1.13141e-321,9.99201e-16,6.10255e+06,363
0.00086,0,1,1.35868e-321,4.44089e-16,6.10255e+06,363
0.00088,2.47033e-323,1,1.13141e-321,7.77156e-16,6.10255e+06,363
0.0009,0,1,1.36856e-321,1.33227e-15,6.10255e+06,363
0.00092,0,1,1.99603e-321,1.66533e-15,6.10255e+06,363
0.00094,0,1,2.50491e-321,1.88738e-15,6.10255e+06,363
0.00096,0,1,2.54444e-321,1.44329e-15,6.10255e+06,363
0.00098,0,1,2.49009e-321,1.22125e-15,6.10255e+06,363
0.001,0,1,2.50985e-321,1.33227e-15,6.10255e+06,363
0.00102,0,1,2.55926e-321,9.99201e-16,6.10255e+06,363
0.00104,0,1,2.53456e-321,8.88178e-16,6.10255e+06,363
0.00106,0,1,2.56914e-321,5.55112e-16,6.10255e+06,363
0.00108,9.88131e-324,1,2.65313e-321,8.88178e-16,6.10255e+06,363
0.0011,1.23516e-322,1,2.66301e-321,6.66134e-16,6.10255e+06,363
0.00112,1.28457e-322,1,3.07309e-321,3.33067e-16,6.10255e+06,363
0.00114,0,1,3.16696e-321,3.33067e-16,6.10255e+06,363
0.00116,1.63042e-322,1,3.16696e-321,6.66134e-16,6.10255e+06,363
0.00118,0,1,3.19166e-321,8.88178e-16,6.10255e+06,363
0.0012,0,1,3.23613e-321,7.77156e-16,6.10255e+06,363
0.00122,1.38338e-322,1,3.13732e-321,4.44089e-16,6.10255e+06,363
0.00124,0,1,3.24601e-321,1.11022e-16,6.10255e+06,363
0.00126,0,1,3.17684e-321,3.33067e-16,6.10255e+06,363
0.00128,1.5316e-322,1,3.13732e-321,1.11022e-16,6.10255e+06,363
0.0013,0,1,3.24107e-321,2.22045e-16,6.10255e+06,363
0.00132,0,1,3.11261e-321,1.11022e-16,6.10255e+06,363
0.00134,0,1,3.21143e-321,2.22045e-16,6.10255e+06,363
0.00136,0,1,3.11755e-321,8.88178e-16,6.10255e+06,363
0.00138,0,1,3.23119e-321,9.99201e-16,6.10255e+06,363
0.0014,0,1,3.32506e-321,8.88178e-16,6.10255e+06,363
0.00142,0,1,3.10767e-321,1.11022e-16,6.10255e+06,363
0.00144,0,1,3.1966e-321,4.44089e-16,6.10255e+06,363
0.00146,0,1,3.17684e-321,8.88178e-16,6.10255e+06,363
0.00148,1.4822e-322,1,3.21637e-321,1.44329e-15,6.10255e+06,363
0.0015,1.63042e-322,1,3.19166e-321,1.55431e-15,6.10255e+06,363
0.00152,1.4822e-322,1,3.21143e-321,1.88738e-15,6.10255e+06,363
0.00154,0,1,3.34977e-321,9.99201e-16,6.10255e+06,363
0.00156,0,1,3.22625e-321,8.88178e-16,6.10255e+06,363
0.00158,0,1,3.87842e-321,0,6.10255e+06,363
0.0016,1.17094e-321,1,1.91302e-320,2.22045e-16,6.10255e+06,363
0.00162,1.63289e-320,1,5.37889e-319,1.11022e-16,6.10255e+06,363
0.00164,5.5327e-319,1,1.83083e-317,2.22045e-16,6.10255e+06,363
0.00166,1.93504e-317,1,6.23418e-316,0,6.10255e+06,363
0.00168,6.74261e-316,1,2.11188e-314,0,6.10255e+06,363
0.0017,2.33719e-314,1,7.11595e-313,0,6.10255e+06,363
0.00172,8.05877e-313,1,2.38484e-311,1.11022e-16,6.10255e+06,363
0.00174,2.76406e-311,1,7.94953e-310,3.33067e-16,6.10255e+06,363
0.00176,9.43023e-310,1,2.63557e-308,1.11022e-16,6.10255e+06,363
0.00178,3.20028e-308,1,8.69059e-307,2.22045e-16,6.10255e+06,363
0.0018,1.08029e-306,1,2.85011e-305,0,6.10255e+06,363
0.00182,3.62717e-305,1,9.29618e-304,0,6.10255e+06,363
0.00184,1.21135e-303,1,3.01558e-302,3.33067e-16,6.10255e+06,363
0.00186,4.02379e-302,1,9.72867e-301,4.44089e-16,6.10255e+06,363
0.00188,1.32942e-300,1,3.12138e-299,6.66134e-16,6.10255e+06,363
0.0019,4.36858e-299,1,9.95962e-298,4.44089e-16,6.10255e+06,363
0.00192,1.4278e-297,1,3.16035e-296,7.77156e-16,6.10255e+06,363
0.00194,4.64122e-296,1,9.97281e-295,5.55112e-16,6.10255e+06,363
0.00196,1.50049e-294,1,3.12955e-293,4.44089e-16,6.10255e+06,363
0.00198,4.82457e-293,1,9.76615e-292,0,6.10255e+06,363
0.002,1.54279e-291,1,3.03063e-290,0,6.10255e+06,363
0.00202,4.90646e-290,1,9.35202e-289,2.22045e-16,6.10255e+06,363
0.00204,1.5518e-288,1,2.86967e-287,3.33067e-16,6.10255e+06,363
0.00206,8.70907e-288,1,1.58627e-286,8.88178e-16,6.10255e+06,363
0.00208,1.52676e-285,1,2.65658e-284,1.55431e-15,6.10255e+06,363
0.0021,4.74921e-284,1,8.01444e-283,1.11022e-15,6.10255e+06,363
0.00212,1.46911e-282,1,2.40409e-281,5.55112e-16,6.10255e+06,363
0.00214,4.51917e-281,1,7.17045e-280,6.66134e-16,6.10255e+06,363
0.00216,1.38239e-279,1,2.12645e-278,8.88178e-16,6.10255e+06,363
0.00218,4.20497e-278,1,6.27004e-277,0,6.10255e+06,363
0.0022,1.27189e-276,1,1.83816e-275,0,6.10255e+06,363
0.00222,3.82542e-275,1,5.3578e-274,0,6.10255e+06,363
0.00224,1.14406e-273,1,1.55265e-272,0,6.10255e+06,363
0.00226,3.40214e-272,1,4.47339e-271,0,6.10255e+06,363
0.00228,1.00596e-270,1,1.28135e-269,0,6.10255e+06,363
0.0023,2.9575e-269,1,3.64891e-268,0,6.10255e+06,363
0.00232,8.64531e-268,1,1.03303e-266,0,6.10255e+06,363
0.00234,2.5127e-266,1,2.90741e-265,0,6.10255e+06,363
0.00236,7.26099e-265,1,8.13468e-264,0,6.10255e+06,363
0.00238,2.08612e-263,1,2.2626e-262,0,6.10255e+06,363
0.0024,5.9589e-262,1,6.25601e-261,1.11022e-16,6.10255e+06,363
0.00242,1.69226e-260,1,1.71951e-259,2.22045e-16,6.10255e+06,363
0.00244,4.77786e-259,1,4.6981e-258,0,6.10255e+06,363
0.00246,1.34109e-257,1,1.27597e-256,0,6.10255e+06,363
0.00248,3.74229e-256,1,3.44473e-255,0,6.10255e+06,363
0.0025,1.03815e-254,1,9.24389e-254,0,6.10255e+06,363
0.00252,2.86298e-253,1,2.46566e-252,0,6.10255e+06,363
0.00254,7.84886e-252,1,6.53709e-251,0,6.10255e+06,363
0.00256,2.13902e-250,1,1.72266e-249,5.55112e-16,6.10255e+06,363
0.00258,5.7948e-249,1,4.512e-248,0,6.10255e+06,363
0.0026,1.56051e-247,1,1.1746e-246,0,6.10255e+06,363
0.00262,4.17728e-246,1,3.03912e-245,0,6.10255e+06,363
0.00264,1.1115e-244,1,7.81522e-244,0,6.10255e+06,363
0.00266,2.93974e-243,1,1.99738e-242,0,6.10255e+06,363
