x,NH3,C7H16,O2,N2,p,T
0,1.67982e-322,1,2.09207e-284,0,6.10227e+06,363
2e-05,0,1,1.4547e-283,0,6.10227e+06,363
4e-05,1.63042e-322,1,3.17301e-282,1.11022e-16,6.10227e+06,363
6e-05,1.58101e-322,1,2.43548e-280,0,6.10227e+06,363
8e-05,3.45846e-323,1,4.27903e-279,0,6.10227e+06,363
0.0001,0,1,7.46614e-278,5.55112e-16,6.10227e+06,363
0.00012,0,1,1.29568e-276,7.77156e-16,6.10227e+06,363
0.00014,0,1,2.23697e-275,4.44089e-16,6.10227e+06,363
0.00016,0,1,9.27709e-275,3.33067e-16,6.10227e+06,363
0.00018,0,1,6.56661e-273,6.66134e-16,6.10227e+06,363
0.0002,1.97626e-323,1,1.11649e-271,3.33067e-16,6.10227e+06,363
0.00022,2.47033e-323,1,1.88865e-270,3.33067e-16,6.10227e+06,363
0.00024,0,1,3.17852e-269,0,6.10227e+06,363
0.00026,1.38338e-322,1,5.32199e-268,1.11022e-16,6.10227e+06,363
0.00028,3.95253e-323,1,8.86534e-267,1.11022e-16,6.10227e+06,363
0.0003,1.28457e-322,1,1.46922e-265,0,6.10227e+06,363
0.00032,1.43279e-322,1,5.96961e-265,2.22045e-16,6.10227e+06,363
0.00034,2.47033e-323,1,3.97348e-263,2.22045e-16,6.10227e+06,363
0.00036,1.33398e-322,1,6.48424e-262,3.33067e-16,6.10227e+06,363.001
0.00038,1.97626e-323,1,1.0527e-260,3.33067e-16,6.10227e+06,363.001
0.0004,1.67982e-322,1,1.70024e-259,5.55112e-16,6.10227e+06,363.001
0.00042,0,1,2.73194e-258,7.77156e-16,6.10227e+06,363.001
0.00044,0,1,4.367e-257,7.77156e-16,6.10227e+06,363.001
0.00046,0,1,6.94458e-256,3.33067e-16,6.10227e+06,363.001
0.00048,0,1,1.09864e-254,3.33067e-16,6.10227e+06,363.001
0.0005,0,1,1.72905e-253,1.11022e-16,6.10227e+06,363.001
0.00052,1.38338e-322,1,2.7071e-252,3.33067e-16,6.10227e+06,363.001
0.00054,0,1,4.21638e-251,8.88178e-16,6.10227e+06,363.001
0.00056,1.38338e-322,1,6.53298e-250,1.66533e-15,6.10227e+06,363.001
0.00058,0,1,1.00697e-248,1.44329e-15,6.10227e+06,363.001
0.0006,0,1,1.54402e-247,1.22125e-15,6.10227e+06,363.001
0.00062,0,1,2.35516e-246,8.88178e-16,6.10227e+06,363.001
0.00064,0,1,3.57365e-245,4.44089e-16,6.10227e+06,363.001
0.00066,0,1,5.39421e-244,2.22045e-16,6.10227e+06,363.001
0.00068,1.58101e-322,1,8.0996e-243,0,6.10227e+06,363.001
0.0007,7.90505e-323,1,1.20981e-241,1.11022e-16,6.10227e+06,363.001
0.00072,6.89222e-321,1,1.79758e-240,0,6.10227e+06,363.001
0.00074,1.70705e-319,1,2.65687e-239,2.22045e-16,6.10227e+06,363.001
0.00076,4.44676e-318,1,3.90627e-238,1.11022e-16,6.10227e+06,363.001
0.00078,1.15466e-316,1,5.71297e-237,0,6.10227e+06,363.001
0.0008,2.98355e-315,1,8.31125e-236,0,6.10227e+06,363.001
0.00082,7.67177e-314,1,1.20274e-234,0,6.10227e+06,363.001
0.00084,1.96308e-312,1,1.73132e-233,1.11022e-16,6.10227e+06,363.001
0.00086,4.99869e-311,1,2.47902e-232,0,6.10227e+06,363.001
0.00088,1.26661e-309,1,3.53081e-231,9.99201e-16,6.10227e+06,363.001
0.0009,3.19374e-308,1,5.00219e-230,1.22125e-15,6.10227e+06,363.001
0.00092,8.01338e-307,1,7.04912e-229,1.55431e-15,6.10227e+06,363.001
0.00094,2.00074e-305,1,9.88084e-228,1.44329e-15,6.10227e+06,363.001
0.00096,4.97069e-304,1,1.37764e-226,9.99201e-16,6.10227e+06,363.002
0.00098,1.22883e-302,1,1.91055e-225,7.77156e-16,6.10227e+06,363.002
0.001,3.02281e-301,1,2.63546e-224,5.55112e-16,6.10227e+06,363.002
0.00102,7.39894e-300,1,3.616e-223,6.66134e-16,6.10227e+06,363.002
0.00104,1.80203e-298,1,4.93483e-222,8.88178e-16,6.10227e+06,363.002
0.00106,4.36701e-297,1,6.6986e-221,1.11022e-15,6.10227e+06,363.002
0.00108,1.05301e-295,1,9.04403e-220,8.88178e-16,6.10227e+06,363.002
0.0011,2.52639e-294,1,1.21451e-218,1.11022e-15,6.10227e+06,363.002
0.00112,6.03091e-293,1,1.62219e-217,8.88178e-16,6.10227e+06,363.002
0.00114,1.43244e-291,1,2.15506e-216,1.11022e-15,6.10227e+06,363.002
0.00116,3.38514e-290,1,2.84755e-215,5.55112e-16,6.10227e+06,363.002
0.00118,7.95936e-289,1,3.74226e-214,8.88178e-16,6.10227e+06,363.002
0.0012,1.86198e-287,1,4.89154e-213,3.33067e-16,6.10227e+06,363.002
0.00122,4.33375e-286,1,6.35919e-212,6.66134e-16,6.10227e+06,363.002
0.00124,1.00355e-284,1,8.22244e-211,5.55112e-16,6.10227e+06,363.002
0.00126,2.31204e-283,1,1.0574e-209,6.66134e-16,6.10227e+06,363.002
0.00128,5.2994e-282,1,1.35243e-208,8.88178e-16,6.10227e+06,363.002
0.0013,1.20846e-280,1,1.72038e-207,1.22125e-15,6.10227e+06,363.002
0.00132,2.74158e-279,1,2.17652e-206,8.88178e-16,6.10227e+06,363.002
0.00134,6.18773e-278,1,2.73861e-205,6.66134e-16,6.10227e+06,363.002
0.00136,1.38937e-276,1,3.42707e-204,5.55112e-16,6.10227e+06,363.002
0.00138,3.10354e-275,1,4.26517e-203,5.55112e-16,6.10227e+06,363.002
0.0014,6.8967e-274,1,5.27921e-202,3.33067e-16,6.10227e+06,363.002
0.00142,1.52464e-272,1,6.49856e-201,4.44089e-16,6.10227e+06,363.002
0.00144,3.35295e-271,1,7.9557e-200,2.22045e-16,6.10227e+06,363.003
0.00146,7.33529e-270,1,9.68611e-199,2.22045e-16,6.10227e+06,363.003
0.00148,1.59637e-268,1,1.17281e-197,2.22045e-16,6.10227e+06,363.003
0.0015,3.45596e-267,1,1.41224e-196,2.22045e-16,6.10227e+06,363.003
0.00152,7.4425e-266,1,1.69118e-195,0,6.10227e+06,363.003
0.00154,1.59433e-264,1,2.01404e-194,0,6.10227e+06,363.003
0.00156,3.39736e-263,1,2.3853e-193,3.33067e-16,6.10227e+06,363.003
0.00158,7.20119e-262,1,2.80936e-192,0,6.10227e+06,363.003
0.0016,1.51831e-260,1,3.29048e-191,1.11022e-16,6.10227e+06,363.003
0.00162,3.18423e-259,1,3.83263e-190,1.11022e-16,6.10227e+06,363.003
0.00164,6.64248e-258,1,4.43933e-189,0,6.10227e+06,363.003
0.00166,1.37827e-256,1,5.11347e-188,2.22045e-16,6.10227e+06,363.003
0.00168,2.84453e-255,1,5.85719e-187,0,6.10227e+06,363.003
0.0017,5.83919e-254,1,6.67168e-186,4.44089e-16,6.10227e+06,363.003
0.00172,1.19222e-252,1,7.55702e-185,1.11022e-16,6.10227e+06,363.003
0.00174,2.42112e-251,1,8.51201e-184,6.66134e-16,6.10227e+06,363.003
0.00176,4.89019e-250,1,9.53402e-183,7.77156e-16,6.10227e+06,363.003
0.00178,9.82383e-249,1,1.06189e-181,7.77156e-16,6.10227e+06,363.003
0.0018,1.9628e-247,1,1.17609e-180,7.77156e-16,6.10227e+06,363.003
0.00182,3.90035e-246,1,1.29525e-179,2.22045e-16,6.10227e+06,363.003
0.00184,7.70835e-245,1,1.41845e-178,0,6.10227e+06,363.003
0.00186,1.5151e-243,1,1.54463e-177,0,6.10227e+06,363.004
0.00188,2.9617e-242,1,1.67254e-176,2.22045e-16,6.10227e+06,363.004
0.0019,5.75773e-241,1,1.80081e-175,5.55112e-16,6.10227e+06,363.004
0.00192,1.11319e-239,1,1.92796e-174,7.77156e-16,6.10227e+06,363.004
0.00194,2.14037e-238,1,2.05238e-173,1.22125e-15,6.10227e+06,363.004
0.00196,4.09264e-237,1,2.17245e-172,9.99201e-16,6.10227e+06,363.004
0.00198,7.78231e-236,1,2.28648e-171,5.55112e-16,6.10227e+06,363.004
0.002,1.47163e-234,1,2.39282e-170,5.55112e-16,6.10227e+06,363.004
0.00202,2.76738e-233,1,2.48983e-169,2.22045e-16,6.10227e+06,363.004
0.00204,5.17502e-232,1,2.57601e-168,1.11022e-16,6.10227e+06,363.004
0.00206,2.23317e-231,1,8.26805e-168,1.11022e-16,6.10227e+06,363.004
0.00208,1.7795e-229,1,2.71042e-166,5.55112e-16,6.10227e+06,363.004
0.0021,3.27214e-228,1,2.75639e-165,1.11022e-16,6.10227e+06,363.004
0.00212,5.98295e-227,1,2.78707e-164,0,6.10227e+06,363.004
0.00214,1.08779e-225,1,2.80191e-163,0,6.10227e+06,363.004
