0.001425	391.2902	9.7719E-08	0.2081974	0.6987855	2.24498E-11	0.00856396	0.006667801	8.27342E-09	9.41158E-05	4.73949E-05	-3.5443E-181	0	0.07665225	0.000991488	5.65651E-10	1.13097E-10	1.36213E-09
0.001434375	431.0059	2.75923E-07	0.2059556	0.6985829	3.10202E-10	0.007869188	0.009794126	5.12074E-08	0.000136583	9.01713E-05	-3.1258E-181	0	0.07589622	0.001674877	2.68912E-09	1.26774E-09	2.28987E-09
0.00144375	487.0033	8.24575E-07	0.202524	0.6982492	4.79998E-09	0.007118667	0.01417534	3.40347E-07	0.000190806	0.000173382	-2.3977E-181	0	0.07475083	0.002816559	1.22873E-08	1.00297E-08	3.82272E-09
0.001448437	522.79	1.62912E-06	0.2002016	0.6980415	2.65118E-08	0.006727154	0.01693882	1.16557E-06	0.000219434	0.000241059	-2.6343E-181	0	0.07398281	0.003644737	3.30508E-08	3.16794E-08	4.92419E-09
0.001453125	564.4784	3.22416E-06	0.1973933	0.6978192	1.06674E-07	0.006328656	0.02012143	3.50296E-06	0.00024678	0.000327026	-2.4709E-181	0	0.07305922	0.004697383	7.55449E-08	8.00655E-08	6.31292E-09
0.001457813	612.275	6.45902E-06	0.1940656	0.6975967	3.58848E-07	0.005925867	0.02372804	9.53589E-06	0.000269955	0.000422538	-2.6275E-181	0	0.07196839	0.006006189	1.51962E-07	1.72594E-07	8.01624E-09
0.001460156	638.4757	9.32589E-06	0.1921979	0.6974911	6.39659E-07	0.0057236	0.02569124	1.53269E-05	0.000278957	0.000467047	-2.7372E-181	0	0.07135636	0.006768032	2.07432E-07	2.40169E-07	8.98218E-09
0.0014625	666.1688	1.33841E-05	0.1901916	0.6973924	1.07262E-06	0.005521217	0.02775894	2.35158E-05	0.000285932	0.000505818	-2.7459E-181	0	0.07069841	0.007607134	2.69482E-07	3.19894E-07	1.0017E-08
0.001464844	695.2477	1.9075E-05	0.1880498	0.6973028	1.71559E-06	0.005319021	0.02992586	3.45421E-05	0.000290768	0.000536	-2.8177E-181	0	0.0699949	0.008524837	3.34013E-07	4.07824E-07	1.11029E-08
0.001467188	725.5714	2.6951E-05	0.1857767	0.6972243	2.63282E-06	0.005117305	0.03218512	4.86745E-05	0.000293467	0.000555738	-2.822E-181	0	0.06924667	0.009521615	3.96175E-07	4.98489E-07	1.2216E-08
0.001471875	789.3483	5.11202E-05	0.1808606	0.6971058	5.47428E-06	0.004716312	0.03694895	8.61726E-05	0.000292814	0.000562372	-2.816E-181	0	0.06762221	0.01174706	4.96467E-07	6.67636E-07	1.44379E-08
0.001476563	855.7763	9.23214E-05	0.1755098	0.6970445	1.01131E-05	0.004320452	0.04196159	0.000135362	0.000285494	0.00053544	-2.7672E-181	0	0.06584314	0.01426042	5.53828E-07	7.89756E-07	1.64466E-08
0.00148125	923.326	0.000157151	0.1697791	0.6970442	1.68356E-05	0.003931916	0.04714118	0.000195248	0.000272358	0.000489989	-2.7266E-181	0	0.06392163	0.01704896	5.71007E-07	8.49924E-07	1.81082E-08
0.001490625	1057.659	0.000372757	0.157374	0.6972222	3.6508E-05	0.003182469	0.05775387	0.000351385	0.000229781	0.000385292	-2.6554E-181	0	0.05969189	0.02339851	5.29456E-07	8.17908E-07	2.03211E-08
0.001495313	1121.564	0.000522935	0.1509543	0.6973857	4.85835E-05	0.002830491	0.06294118	0.000459914	0.000201342	0.000338645	-2.6296E-181	0	0.05742849	0.02688717	4.99719E-07	7.60475E-07	2.10476E-08
0.0015	1182.615	0.000695985	0.1444743	0.6975884	6.14825E-05	0.002496539	0.06796731	0.000596519	0.000169152	0.000297367	-2.6061E-181	0	0.05507402	0.03057772	4.68313E-07	6.92341E-07	2.15707E-08
0.001504687	1240.376	0.000882448	0.1380472	0.6978163	7.44175E-05	0.002184083	0.07274776	0.000764971	0.000136236	0.000261367	-2.5837E-181	0	0.05264813	0.03443608	4.3609E-07	6.21788E-07	2.19451E-08
0.001509375	1294.572	0.001071407	0.131793	0.698053	8.65681E-05	0.001896509	0.07720348	0.000964894	0.000106611	0.000230118	-2.5633E-181	0	0.05017481	0.03841864	4.02973E-07	5.5303E-07	2.22126E-08
0.001514063	1345.068	0.001252234	0.1258274	0.6982823	9.71945E-05	0.001636627	0.08126941	0.001191862	8.31541E-05	0.00020313	-2.5424E-181	0	0.04768131	0.04247456	3.69246E-07	4.88183E-07	2.24034E-08
0.00151875	1391.843	0.001415939	0.1202493	0.69849	0.00010574	0.001406206	0.08490185	0.001438235	6.61377E-05	0.000180047	-2.5256E-181	0	0.04519636	0.04654941	3.35644E-07	4.28273E-07	2.25394E-08
0.001528125	1474.666	0.0016731	0.1104506	0.6988083	0.000115748	0.001033798	0.09083365	0.001959631	4.59537E-05	0.000144298	-2.4898E-181	0	0.04032951	0.05460477	2.72822E-07	3.24351E-07	2.26948E-08
0.0015375	1544.784	0.001819585	0.1025918	0.6989869	0.000116487	0.000768484	0.09514602	0.002450228	3.40246E-05	0.000118781	-2.4527E-181	0	0.03578352	0.06218367	2.17611E-07	2.4172E-07	2.27743E-08
0.001546875	1603.81	0.0018661	0.09650926	0.6990409	0.000110557	0.000587214	0.09816372	0.002860328	2.60934E-05	0.0001001	-2.4173E-181	0	0.03167246	0.06906285	1.72406E-07	1.78637E-07	2.28146E-08
0.00155625	1653.392	0.001837923	0.0918697	0.6990074	0.000101044	0.00046492	0.1002564	0.003170404	2.04935E-05	8.58134E-05	-2.3823E-181	0	0.02804357	0.07514196	1.3689E-07	1.31925E-07	2.28345E-08
