x,NH3,C7H16,O2,N2,p,T
0,1.70402e-312,1,6.28022e-186,0,6.10137e+06,363
2e-05,1.29145e-311,1,4.12275e-185,0,6.10137e+06,363
4e-05,3.84074e-310,1,7.17676e-184,0,6.10137e+06,363
6e-05,5.33557e-308,1,3.30399e-182,1.11022e-16,6.10137e+06,363
8e-05,1.41463e-306,1,3.91552e-181,1.11022e-16,6.10137e+06,363
0.0001,3.72945e-305,1,4.5282e-180,0,6.10137e+06,363
0.00012,9.77762e-304,1,5.16249e-179,4.44089e-16,6.10137e+06,363.001
0.00014,2.54921e-302,1,5.82556e-178,2.22045e-16,6.10137e+06,363.001
0.00016,1.29893e-301,1,1.95054e-177,5.55112e-16,6.10137e+06,363.001
0.00018,1.70407e-299,1,7.23507e-176,4.44089e-16,6.10137e+06,363.001
0.0002,4.36906e-298,1,7.97137e-175,5.55112e-16,6.10137e+06,363.001
0.00022,1.11392e-296,1,8.71831e-174,1.11022e-16,6.10137e+06,363.001
0.00024,2.82414e-295,1,9.4662e-173,1.11022e-16,6.10137e+06,363.001
0.00026,7.11989e-294,1,1.02042e-171,3.33067e-16,6.10137e+06,363.001
0.00028,1.7849e-292,1,1.09209e-170,2.22045e-16,6.10137e+06,363.001
0.0003,4.44942e-291,1,1.16042e-169,5.55112e-16,6.10137e+06,363.001
0.00032,2.2168e-290,1,3.77244e-169,4.44089e-16,6.10137e+06,363.001
0.00034,2.71838e-288,1,1.28226e-167,1.44329e-15,6.10137e+06,363.001
0.00036,6.6622e-287,1,1.33347e-166,1.55431e-15,6.10137e+06,363.001
0.00038,1.62351e-285,1,1.37683e-165,1.33227e-15,6.10137e+06,363.002
0.0004,3.93387e-284,1,1.41146e-164,9.99201e-16,6.10137e+06,363.002
0.00042,9.47774e-283,1,1.43663e-163,1.44329e-15,6.10137e+06,363.002
0.00044,2.27042e-281,1,1.45181e-162,1.22125e-15,6.10137e+06,363.002
0.00046,5.40778e-280,1,1.45669e-161,1.11022e-15,6.10137e+06,363.002
0.00048,1.28068e-278,1,1.45116e-160,1.11022e-15,6.10137e+06,363.002
0.0005,3.01552e-277,1,1.43534e-159,9.99201e-16,6.10137e+06,363.002
0.00052,7.05964e-276,1,1.40956e-158,7.77156e-16,6.10137e+06,363.002
0.00054,1.64322e-274,1,1.37437e-157,3.33067e-16,6.10137e+06,363.002
0.00056,3.80276e-273,1,1.3305e-156,4.44089e-16,6.10137e+06,363.002
0.00058,8.74953e-272,1,1.27884e-155,2.22045e-16,6.10137e+06,363.002
0.0006,2.00147e-270,1,1.22041e-154,5.55112e-16,6.10137e+06,363.003
0.00062,4.55187e-269,1,1.15635e-153,0,6.10137e+06,363.003
0.00064,1.0292e-267,1,1.08782e-152,3.33067e-16,6.10137e+06,363.003
0.00066,2.31352e-266,1,1.01606e-151,0,6.10137e+06,363.003
0.00068,5.17021e-265,1,9.42251e-151,2.22045e-16,6.10137e+06,363.003
0.0007,1.14868e-263,1,8.67568e-150,2.22045e-16,6.10137e+06,363.003
0.00072,2.53711e-262,1,7.93101e-149,2.22045e-16,6.10137e+06,363.003
0.00074,5.57091e-261,1,7.19848e-148,6.66134e-16,6.10137e+06,363.003
0.00076,1.21606e-259,1,6.48694e-147,1.22125e-15,6.10137e+06,363.003
0.00078,2.63888e-258,1,5.80398e-146,1.11022e-15,6.10137e+06,363.003
0.0008,5.69266e-257,1,5.15582e-145,9.99201e-16,6.10137e+06,363.003
0.00082,1.22078e-255,1,4.54731e-144,9.99201e-16,6.10137e+06,363.004
0.00084,2.60246e-254,1,3.98196e-143,1.11022e-15,6.10137e+06,363.004
0.00086,5.51503e-253,1,3.46197e-142,1.44329e-15,6.10137e+06,363.004
0.00088,1.16178e-251,1,2.98836e-141,9.99201e-16,6.10137e+06,363.004
0.0009,2.4328e-250,1,2.5611e-140,7.77156e-16,6.10137e+06,363.004
0.00092,5.06399e-249,1,2.17922e-139,1.22125e-15,6.10137e+06,363.004
0.00094,1.0478e-247,1,1.84103e-138,1.33227e-15,6.10137e+06,363.004
0.00096,2.15504e-246,1,1.54419e-137,8.88178e-16,6.10137e+06,363.004
0.00098,4.40576e-245,1,1.28594e-136,9.99201e-16,6.10137e+06,363.004
0.001,8.95305e-244,1,1.06321e-135,4.44089e-16,6.10137e+06,363.004
0.00102,1.80842e-242,1,8.72774e-135,2.22045e-16,6.10137e+06,363.004
0.00104,3.63079e-241,1,7.11315e-134,1.11022e-16,6.10137e+06,363.005
0.00106,7.24557e-240,1,5.75573e-133,0,6.10137e+06,363.005
0.00108,1.43717e-238,1,4.62399e-132,0,6.10137e+06,363.005
0.0011,2.83336e-237,1,3.68818e-131,1.11022e-16,6.10137e+06,363.005
0.00112,5.552e-236,1,2.92067e-130,0,6.10137e+06,363.005
0.00114,1.0813e-234,1,2.29631e-129,1.11022e-16,6.10137e+06,363.005
0.00116,2.0931e-233,1,1.79248e-128,1.11022e-16,6.10137e+06,363.005
0.00118,4.0269e-232,1,1.38916e-127,1.11022e-16,6.10137e+06,363.005
0.0012,7.69993e-231,1,1.06888e-126,2.22045e-16,6.10137e+06,363.005
0.00122,1.4633e-229,1,8.16536e-126,1.11022e-16,6.10137e+06,363.005
0.00124,2.76377e-228,1,6.19295e-125,0,6.10137e+06,363.006
0.00126,5.1879e-227,1,4.66329e-124,0,6.10137e+06,363.006
