x,NH3,C7H16,O2,N2,p,T
0,1.67982e-322,1,0,0,6.10255e+06,363
2e-05,0,1,0,0,6.10255e+06,363
4e-05,1.63042e-322,1,1.4822e-322,0,6.10255e+06,363
6e-05,1.58101e-322,1,1.33398e-322,1.11022e-16,6.10255e+06,363
8e-05,3.45846e-323,1,0,1.11022e-16,6.10255e+06,363
0.0001,0,1,1.72923e-322,2.22045e-16,6.10255e+06,363
0.00012,0,1,0,6.66134e-16,6.10255e+06,363
0.00014,0,1,0,6.66134e-16,6.10255e+06,363
0.00016,0,1,1.58101e-322,5.55112e-16,6.10255e+06,363
0.00018,0,1,0,2.22045e-16,6.10255e+06,363
0.0002,1.97626e-323,1,0,1.11022e-16,6.10255e+06,363
0.00022,2.47033e-323,1,0,1.11022e-16,6.10255e+06,363
0.00024,0,1,1.5316e-322,2.22045e-16,6.10255e+06,363
0.00026,1.38338e-322,1,0,3.33067e-16,6.10255e+06,363
0.00028,3.95253e-323,1,1.33398e-322,7.77156e-16,6.10255e+06,363
0.0003,1.28457e-322,1,0,6.66134e-16,6.10255e+06,363
0.00032,1.43279e-322,1,0,5.55112e-16,6.10255e+06,363
0.00034,2.47033e-323,1,0,1.11022e-16,6.10255e+06,363
0.00036,1.33398e-322,1,0,2.22045e-16,6.10255e+06,363
0.00038,1.97626e-323,1,0,3.33067e-16,6.10255e+06,363
0.0004,1.67982e-322,1,0,0,6.10255e+06,363
0.00042,0,1,1.23516e-322,1.11022e-16,6.10255e+06,363
0.00044,0,1,0,3.33067e-16,6.10255e+06,363
0.00046,0,1,1.43279e-322,4.44089e-16,6.10255e+06,363
0.00048,0,1,1.58101e-322,2.22045e-16,6.10255e+06,363
0.0005,0,1,0,3.33067e-16,6.10255e+06,363
0.00052,1.38338e-322,1,0,2.22045e-16,6.10255e+06,363
0.00054,0,1,0,5.55112e-16,6.10255e+06,363
0.00056,1.38338e-322,1,1.38338e-322,8.88178e-16,6.10255e+06,363
0.00058,0,1,0,1.33227e-15,6.10255e+06,363
0.0006,0,1,1.33398e-322,1.11022e-15,6.10255e+06,363
0.00062,0,1,3.70549e-322,1.33227e-15,6.10255e+06,363
0.00064,0,1,6.42285e-322,1.33227e-15,6.10255e+06,363
0.00066,0,1,3.31024e-322,1.22125e-15,6.10255e+06,363
0.00068,1.58101e-322,1,6.62048e-322,1.11022e-15,6.10255e+06,363
0.0007,2.47033e-323,1,3.50787e-322,1.33227e-15,6.10255e+06,363
0.00072,0,1,6.66989e-322,1.11022e-15,6.10255e+06,363
0.00074,0,1,4.5454e-322,1.55431e-15,6.10255e+06,363
0.00076,0,1,6.52167e-322,1.88738e-15,6.10255e+06,363
0.00078,0,1,8.54734e-322,1.88738e-15,6.10255e+06,363
0.0008,0,1,1.16599e-321,1.44329e-15,6.10255e+06,363
0.00082,0,1,1.15117e-321,1.11022e-15,6.10255e+06,363
0.00084,0,1,1.13141e-321,1.44329e-15,6.10255e+06,363
0.00086,0,1,1.35868e-321,2.10942e-15,6.10255e+06,363
0.00088,2.47033e-323,1,1.13141e-321,2.33147e-15,6.10255e+06,363
0.0009,0,1,1.36856e-321,2.22045e-15,6.10255e+06,363
0.00092,0,1,1.99603e-321,1.88738e-15,6.10255e+06,363
0.00094,0,1,2.50491e-321,1.33227e-15,6.10255e+06,363
0.00096,0,1,2.54444e-321,1.11022e-15,6.10255e+06,363
0.00098,0,1,2.49009e-321,1.44329e-15,6.10255e+06,363
0.001,0,1,2.50985e-321,1.33227e-15,6.10255e+06,363
0.00102,0,1,2.55926e-321,1.11022e-15,6.10255e+06,363
0.00104,0,1,2.53456e-321,1.11022e-15,6.10255e+06,363
0.00106,0,1,2.56914e-321,8.88178e-16,6.10255e+06,363
0.00108,9.88131e-324,1,2.65313e-321,6.66134e-16,6.10255e+06,363
0.0011,1.23516e-322,1,2.66301e-321,9.99201e-16,6.10255e+06,363
0.00112,1.28457e-322,1,3.07309e-321,5.55112e-16,6.10255e+06,363
0.00114,0,1,3.16696e-321,8.88178e-16,6.10255e+06,363
0.00116,1.63042e-322,1,3.16696e-321,9.99201e-16,6.10255e+06,363
0.00118,0,1,3.19166e-321,7.77156e-16,6.10255e+06,363
0.0012,0,1,3.23613e-321,7.77156e-16,6.10255e+06,363
0.00122,1.38338e-322,1,3.13732e-321,8.88178e-16,6.10255e+06,363
0.00124,0,1,3.24601e-321,9.99201e-16,6.10255e+06,363
0.00126,0,1,3.17684e-321,8.88178e-16,6.10255e+06,363
0.00128,1.5316e-322,1,3.13732e-321,9.99201e-16,6.10255e+06,363
0.0013,0,1,3.24107e-321,1.11022e-15,6.10255e+06,363
0.00132,0,1,3.11261e-321,1.22125e-15,6.10255e+06,363
0.00134,0,1,3.21143e-321,1.11022e-15,6.10255e+06,363
0.00136,0,1,3.11755e-321,8.88178e-16,6.10255e+06,363
0.00138,0,1,3.23119e-321,7.77156e-16,6.10255e+06,363
0.0014,0,1,3.32506e-321,9.99201e-16,6.10255e+06,363
0.00142,0,1,3.10767e-321,2.22045e-16,6.10255e+06,363
0.00144,0,1,3.1966e-321,1.11022e-16,6.10255e+06,363
0.00146,0,1,3.17684e-321,0,6.10255e+06,363
0.00148,1.4822e-322,1,3.21637e-321,1.11022e-16,6.10255e+06,363
0.0015,1.63042e-322,1,3.19166e-321,1.11022e-16,6.10255e+06,363
0.00152,1.4822e-322,1,3.21143e-321,2.22045e-16,6.10255e+06,363
0.00154,0,1,3.34977e-321,3.33067e-16,6.10255e+06,363
0.00156,0,1,3.22625e-321,2.22045e-16,6.10255e+06,363
0.00158,0,1,3.25095e-321,2.22045e-16,6.10255e+06,363
0.0016,1.17094e-321,1,4.04146e-321,6.66134e-16,6.10255e+06,363
0.00162,1.37202e-320,1,3.94264e-321,3.33067e-16,6.10255e+06,363
0.00164,4.37253e-319,1,6.15606e-321,2.22045e-16,6.10255e+06,363
0.00166,1.53055e-317,1,7.68272e-320,5.55112e-16,6.10255e+06,363
0.00168,5.34703e-316,1,2.61841e-318,5.55112e-16,6.10255e+06,363
0.0017,1.85832e-314,1,9.33797e-317,8.88178e-16,6.10255e+06,363
0.00172,6.42436e-313,1,3.31722e-315,1.33227e-15,6.10255e+06,363
0.00174,2.20921e-311,1,1.17221e-313,8.88178e-16,6.10255e+06,363
0.00176,7.55674e-310,1,4.12022e-312,1.77636e-15,6.10255e+06,363
0.00178,2.57108e-308,1,1.4405e-310,1.77636e-15,6.10255e+06,363
0.0018,8.70112e-307,1,5.00931e-309,1.77636e-15,6.10255e+06,363
0.00182,2.92891e-305,1,1.73264e-307,1.55431e-15,6.10255e+06,363
0.00184,9.80623e-304,1,5.96068e-306,1.44329e-15,6.10255e+06,363
0.00186,3.26556e-302,1,2.03956e-304,8.88178e-16,6.10255e+06,363
0.00188,1.0816e-300,1,6.941e-303,7.77156e-16,6.10255e+06,363
0.0019,3.56302e-299,1,2.34935e-301,1.22125e-15,6.10255e+06,363
0.00192,1.16738e-297,1,7.90873e-300,9.99201e-16,6.10255e+06,363
0.00194,3.80398e-296,1,2.64784e-298,5.55112e-16,6.10255e+06,363
0.00196,1.23279e-294,1,8.81651e-297,8.88178e-16,6.10255e+06,363
0.00198,3.97341e-293,1,2.91954e-295,8.88178e-16,6.10255e+06,363
0.002,1.27365e-291,1,9.61479e-294,7.77156e-16,6.10255e+06,363
0.00202,4.06016e-290,1,3.14894e-292,7.77156e-16,6.10255e+06,363
0.00204,1.28717e-288,1,1.02561e-290,9.99201e-16,6.10255e+06,363
0.00206,7.23237e-288,1,5.84098e-290,1.11022e-15,6.10255e+06,363
0.00208,1.27232e-285,1,1.06996e-287,1.11022e-15,6.10255e+06,363
0.0021,3.96687e-284,1,3.42709e-286,7.77156e-16,6.10255e+06,363
0.00212,1.22991e-282,1,1.09156e-284,7.77156e-16,6.10255e+06,363
0.00214,3.79197e-281,1,3.45723e-283,8.88178e-16,6.10255e+06,363
0.00216,1.16256e-279,1,1.08883e-281,6.66134e-16,6.10255e+06,363
0.00218,3.5442e-278,1,3.40988e-280,1.11022e-15,6.10255e+06,363
0.0022,1.0744e-276,1,1.06183e-278,7.77156e-16,6.10255e+06,363
0.00222,3.23856e-275,1,3.28776e-277,7.77156e-16,6.10255e+06,363
0.00224,9.70665e-274,1,1.01221e-275,1.11022e-16,6.10255e+06,363
0.00226,2.89274e-272,1,3.09854e-274,5.55112e-16,6.10255e+06,363
0.00228,8.57171e-271,1,9.43088e-273,1.11022e-16,6.10255e+06,363
0.0023,2.52543e-269,1,2.85397e-271,4.44089e-16,6.10255e+06,363
0.00232,7.39783e-268,1,8.58701e-270,5.55112e-16,6.10255e+06,363
0.00234,2.15461e-266,1,2.56875e-268,6.66134e-16,6.10255e+06,363
0.00236,6.23908e-265,1,7.63979e-267,7.77156e-16,6.10255e+06,363
0.00238,1.79619e-263,1,2.25899e-265,5.55112e-16,6.10255e+06,363
0.0024,5.14113e-262,1,6.64066e-264,5.55112e-16,6.10255e+06,363
0.00242,1.46295e-260,1,1.94074e-262,7.77156e-16,6.10255e+06,363
0.00244,4.13864e-259,1,5.63861e-261,8.88178e-16,6.10255e+06,363
0.00246,1.16396e-257,1,1.62862e-259,7.77156e-16,6.10255e+06,363
0.00248,3.25431e-256,1,4.6763e-258,6.66134e-16,6.10255e+06,363
0.0025,9.04516e-255,1,1.33479e-256,6.66134e-16,6.10255e+06,363
0.00252,2.4992e-253,1,3.78741e-255,5.55112e-16,6.10255e+06,363
0.00254,6.86446e-252,1,1.06828e-253,2.22045e-16,6.10255e+06,363
0.00256,1.87423e-250,1,2.99522e-252,4.44089e-16,6.10255e+06,363
0.00258,5.0868e-249,1,8.34777e-251,7.77156e-16,6.10255e+06,363
