x,NH3,C7H16,O2,N2,p,T
0,6.38547e-289,1,2.85927e-23,0,6.0991e+06,363
2e-05,9.34961e-288,1,1.80463e-22,0,6.0991e+06,363
4e-05,1.60179e-285,1,2.66201e-21,4.44089e-16,6.0991e+06,363
6e-05,3.51529e-282,1,7.81789e-20,1.11022e-16,6.0991e+06,363
8e-05,5.87793e-280,1,6.10467e-19,1.11022e-16,6.0991e+06,363
0.0001,9.75002e-278,1,4.28581e-18,0,6.0991e+06,363
0.00012,1.60424e-275,1,2.75536e-17,2.22045e-16,6.0991e+06,363
0.00014,2.61809e-273,1,1.63914e-16,2.22045e-15,6.0991e+06,363.001
0.00016,3.33426e-272,1,3.89158e-16,5.55112e-15,6.0991e+06,363.001
0.00018,6.80173e-269,1,4.70887e-15,5.80647e-14,6.0991e+06,363.001
0.0002,1.0826e-266,1,2.29202e-14,2.59348e-13,6.0991e+06,363.001
0.00022,1.70854e-264,1,1.05016e-13,1.08413e-12,6.0991e+06,363.001
0.00024,2.67331e-262,1,4.53912e-13,4.2979e-12,6.0991e+06,363.001
0.00026,4.14675e-260,1,1.85429e-12,1.61811e-11,6.0991e+06,363.001
0.00028,6.37616e-258,1,7.17117e-12,5.79503e-11,6.0991e+06,363.001
0.0003,9.71779e-256,1,2.62943e-11,1.97638e-10,6.0991e+06,363.001
0.00032,1.19569e-254,1,4.93753e-11,3.58505e-10,6.0991e+06,363.001
0.00034,2.19733e-251,1,3.02945e-10,1.99529e-09,6.0991e+06,363.001
0.00036,3.25938e-249,1,9.54343e-10,5.9202e-09,6.0991e+06,363.001
0.00038,4.79039e-247,1,2.8651e-09,1.68064e-08,6.0991e+06,363.001
0.0004,6.97527e-245,1,8.20677e-09,4.56951e-08,6.0991e+06,363.002
0.00042,1.00615e-242,1,2.24538e-08,1.1911e-07,6.0991e+06,363.003
0.00044,1.43757e-240,1,5.87451e-08,2.9794e-07,6.0991e+06,363.006
0.00046,2.03427e-238,0.999999,1.47124e-07,7.15835e-07,6.0991e+06,363.011
