x,NH3,C7H16,O2,N2,p,T
0,1.67982e-322,1,0,2.22045e-16,6.10255e+06,363
2e-05,0,1,0,2.22045e-16,6.10255e+06,363
4e-05,1.63042e-322,1,1.4822e-322,2.22045e-16,6.10255e+06,363
6e-05,1.58101e-322,1,1.33398e-322,4.44089e-16,6.10255e+06,363
8e-05,3.45846e-323,1,0,2.22045e-16,6.10255e+06,363
0.0001,0,1,1.72923e-322,3.33067e-16,6.10255e+06,363
0.00012,0,1,0,4.44089e-16,6.10255e+06,363
0.00014,0,1,0,7.77156e-16,6.10255e+06,363
0.00016,0,1,1.58101e-322,1.11022e-15,6.10255e+06,363
0.00018,0,1,0,1.66533e-15,6.10255e+06,363
0.0002,1.97626e-323,1,0,1.44329e-15,6.10255e+06,363
0.00022,2.47033e-323,1,0,1.44329e-15,6.10255e+06,363
0.00024,0,1,1.5316e-322,1.33227e-15,6.10255e+06,363
0.00026,1.38338e-322,1,0,1.22125e-15,6.10255e+06,363
0.00028,3.95253e-323,1,1.33398e-322,2.22045e-16,6.10255e+06,363
0.0003,1.28457e-322,1,0,1.11022e-16,6.10255e+06,363
0.00032,1.43279e-322,1,0,2.22045e-16,6.10255e+06,363
0.00034,2.47033e-323,1,0,7.77156e-16,6.10255e+06,363
0.00036,1.33398e-322,1,0,2.22045e-16,6.10255e+06,363
0.00038,1.97626e-323,1,0,3.33067e-16,6.10255e+06,363
0.0004,1.67982e-322,1,0,0,6.10255e+06,363
0.00042,0,1,1.23516e-322,5.55112e-16,6.10255e+06,363
0.00044,0,1,0,8.88178e-16,6.10255e+06,363
0.00046,0,1,1.43279e-322,2.22045e-16,6.10255e+06,363
0.00048,0,1,1.58101e-322,6.66134e-16,6.10255e+06,363
0.0005,0,1,0,1.22125e-15,6.10255e+06,363
0.00052,1.38338e-322,1,0,1.33227e-15,6.10255e+06,363
0.00054,0,1,0,1.77636e-15,6.10255e+06,363
0.00056,1.38338e-322,1,1.38338e-322,9.99201e-16,6.10255e+06,363
0.00058,0,1,0,1.33227e-15,6.10255e+06,363
0.0006,0,1,1.33398e-322,9.99201e-16,6.10255e+06,363
0.00062,0,1,3.70549e-322,1.33227e-15,6.10255e+06,363
0.00064,0,1,6.42285e-322,1.44329e-15,6.10255e+06,363
0.00066,0,1,3.31024e-322,1.33227e-15,6.10255e+06,363
0.00068,1.58101e-322,1,6.62048e-322,1.44329e-15,6.10255e+06,363
0.0007,2.47033e-323,1,3.50787e-322,1.44329e-15,6.10255e+06,363
0.00072,0,1,6.66989e-322,1.33227e-15,6.10255e+06,363
0.00074,0,1,4.5454e-322,1.22125e-15,6.10255e+06,363
0.00076,0,1,6.52167e-322,1.33227e-15,6.10255e+06,363
0.00078,0,1,8.54734e-322,9.99201e-16,6.10255e+06,363
0.0008,0,1,1.16599e-321,1.44329e-15,6.10255e+06,363
0.00082,0,1,1.15117e-321,1.44329e-15,6.10255e+06,363
0.00084,0,1,1.13141e-321,1.44329e-15,6.10255e+06,363
0.00086,0,1,1.35868e-321,9.99201e-16,6.10255e+06,363
0.00088,2.47033e-323,1,1.13141e-321,1.33227e-15,6.10255e+06,363
0.0009,0,1,1.36856e-321,1.22125e-15,6.10255e+06,363
0.00092,0,1,1.99603e-321,1.33227e-15,6.10255e+06,363
0.00094,0,1,2.50491e-321,1.33227e-15,6.10255e+06,363
0.00096,0,1,2.54444e-321,1.11022e-15,6.10255e+06,363
0.00098,0,1,2.49009e-321,1.11022e-15,6.10255e+06,363
0.001,0,1,2.50985e-321,1.11022e-15,6.10255e+06,363
0.00102,0,1,2.55926e-321,1.11022e-15,6.10255e+06,363
0.00104,0,1,2.53456e-321,1.11022e-15,6.10255e+06,363
0.00106,0,1,2.56914e-321,1.33227e-15,6.10255e+06,363
0.00108,9.88131e-324,1,2.65313e-321,8.88178e-16,6.10255e+06,363
0.0011,1.23516e-322,1,2.66301e-321,7.77156e-16,6.10255e+06,363
0.00112,1.28457e-322,1,3.07309e-321,6.66134e-16,6.10255e+06,363
0.00114,0,1,3.16696e-321,7.77156e-16,6.10255e+06,363
0.00116,1.63042e-322,1,3.16696e-321,6.66134e-16,6.10255e+06,363
0.00118,0,1,3.19166e-321,6.66134e-16,6.10255e+06,363
0.0012,0,1,3.23613e-321,7.77156e-16,6.10255e+06,363
0.00122,1.38338e-322,1,3.13732e-321,7.77156e-16,6.10255e+06,363
0.00124,0,1,3.24601e-321,9.99201e-16,6.10255e+06,363
0.00126,0,1,3.17684e-321,5.55112e-16,6.10255e+06,363
0.00128,1.5316e-322,1,3.13732e-321,2.22045e-16,6.10255e+06,363
0.0013,0,1,3.24107e-321,8.88178e-16,6.10255e+06,363
0.00132,0,1,3.11261e-321,7.77156e-16,6.10255e+06,363
0.00134,0,1,3.24107e-321,3.33067e-16,6.10255e+06,363
0.00136,0,1,7.87541e-321,2.22045e-16,6.10255e+06,363
0.00138,0,1,1.42647e-319,4.44089e-16,6.10255e+06,363
0.0014,0,1,4.27915e-318,1.11022e-16,6.10255e+06,363
0.00142,0,1,1.30504e-316,2.22045e-16,6.10255e+06,363
0.00144,0,1,3.96362e-315,1.11022e-16,6.10255e+06,363
0.00146,0,1,1.19807e-313,1.11022e-16,6.10255e+06,363
0.00148,1.4822e-322,1,3.60396e-312,1.11022e-16,6.10255e+06,363
0.0015,1.63042e-322,1,1.0789e-310,6.66134e-16,6.10255e+06,363
0.00152,1.4822e-322,1,3.21425e-309,7.77156e-16,6.10255e+06,363
0.00154,0,1,9.52952e-308,8.88178e-16,6.10255e+06,363
0.00156,5.58294e-322,1,2.81157e-306,7.77156e-16,6.10255e+06,363
0.00158,2.68969e-320,1,8.25485e-305,8.88178e-16,6.10255e+06,363
0.0016,8.91838e-319,1,2.41182e-303,3.33067e-16,6.10255e+06,363
0.00162,2.94375e-317,1,7.01216e-302,2.22045e-16,6.10255e+06,363
0.00164,9.66959e-316,1,2.02873e-300,1.11022e-16,6.10255e+06,363
0.00166,3.16086e-314,1,5.84057e-299,1.11022e-16,6.10255e+06,363
0.00168,1.02822e-312,1,1.67317e-297,3.33067e-16,6.10255e+06,363
0.0017,3.32848e-311,1,4.76952e-296,3.33067e-16,6.10255e+06,363
0.00172,1.07221e-309,1,1.35286e-294,0,6.10255e+06,363
0.00174,3.43701e-308,1,3.81826e-293,0,6.10255e+06,363
0.00176,1.09634e-306,1,1.07229e-291,2.22045e-16,6.10255e+06,363
0.00178,3.47989e-305,1,2.99628e-290,0,6.10255e+06,363
0.0018,1.0991e-303,1,8.33056e-289,1.11022e-16,6.10255e+06,363
0.00182,3.45425e-302,1,2.30452e-287,7.77156e-16,6.10255e+06,363
0.00184,1.08022e-300,1,6.34299e-286,1.11022e-16,6.10255e+06,363
0.00186,3.36126e-299,1,1.73704e-284,7.77156e-16,6.10255e+06,363
0.00188,1.04069e-297,1,4.73287e-283,6.66134e-16,6.10255e+06,363
0.0019,3.20598e-296,1,1.28301e-281,9.99201e-16,6.10255e+06,363
0.00192,9.82689e-295,1,3.46033e-280,5.55112e-16,6.10255e+06,363
0.00194,2.99697e-293,1,9.28508e-279,8.88178e-16,6.10255e+06,363
0.00196,9.09393e-292,1,2.47872e-277,7.77156e-16,6.10255e+06,363
0.00198,2.74548e-290,1,6.58316e-276,2.22045e-16,6.10255e+06,363
0.002,8.24662e-289,1,1.73941e-274,0,6.10255e+06,363
0.00202,2.46444e-287,1,4.57221e-273,1.11022e-16,6.10255e+06,363
0.00204,7.32723e-286,1,1.19563e-271,1.11022e-16,6.10255e+06,363
0.00206,3.98763e-285,1,6.10222e-271,1.11022e-16,6.10255e+06,363
0.00208,6.37809e-283,1,8.04938e-269,0,6.10255e+06,363
0.0021,1.86727e-281,1,2.07225e-267,1.11022e-16,6.10255e+06,363
0.00212,5.43847e-280,1,5.30696e-266,2.22045e-16,6.10255e+06,363
0.00214,1.57576e-278,1,1.35197e-264,4.44089e-16,6.10255e+06,363
0.00216,4.54196e-277,1,3.42609e-263,3.33067e-16,6.10255e+06,363
0.00218,1.30235e-275,1,8.63645e-262,0,6.10255e+06,363
0.0022,3.71482e-274,1,2.16556e-260,3.33067e-16,6.10255e+06,363
0.00222,1.05406e-272,1,5.40127e-259,1.11022e-16,6.10255e+06,363
0.00224,2.9751e-271,1,1.34001e-257,1.11022e-16,6.10255e+06,363
0.00226,8.35302e-270,1,3.30672e-256,3.33067e-16,6.10255e+06,363
0.00228,2.33282e-268,1,8.11631e-255,1.11022e-16,6.10255e+06,363
0.0023,6.48049e-267,1,1.98146e-253,1.11022e-16,6.10255e+06,363
0.00232,1.79067e-265,1,4.8114e-252,0,6.10255e+06,363
0.00234,4.92152e-264,1,1.16201e-250,0,6.10255e+06,363
0.00236,1.34539e-262,1,2.79121e-249,0,6.10255e+06,363
0.00238,3.65813e-261,1,6.66829e-248,0,6.10255e+06,363
0.0024,9.89284e-260,1,1.58441e-246,1.11022e-16,6.10255e+06,363
0.00242,2.66089e-258,1,3.74409e-245,0,6.10255e+06,363
0.00244,7.11818e-257,1,8.79918e-244,2.22045e-16,6.10255e+06,363
0.00246,1.89383e-255,1,2.0566e-242,1.11022e-16,6.10255e+06,363
0.00248,5.0111e-254,1,4.78036e-241,1.11022e-16,6.10255e+06,363
0.0025,1.31868e-252,1,1.10502e-239,0,6.10255e+06,363
0.00252,3.45103e-251,1,2.5402e-238,0,6.10255e+06,363
0.00254,8.98164e-250,1,5.80695e-237,2.22045e-16,6.10255e+06,363
0.00256,2.32462e-248,1,1.32009e-235,0,6.10255e+06,363
0.00258,5.98314e-247,1,2.98421e-234,0,6.10255e+06,363
0.0026,1.53137e-245,1,6.70835e-233,0,6.10255e+06,363
0.00262,3.89757e-244,1,1.49953e-231,0,6.10255e+06,363
0.00264,9.86425e-243,1,3.33306e-230,0,6.10255e+06,363
0.00266,2.48246e-241,1,7.36663e-229,0,6.10255e+06,363
0.00268,6.2121e-240,1,1.61892e-227,0,6.10255e+06,363
0.0027,1.5457e-238,1,3.5376e-226,0,6.10255e+06,363
0.00272,3.82416e-237,1,7.68613e-225,0,6.10255e+06,363
0.00274,9.40716e-236,1,1.66041e-223,2.22045e-16,6.10255e+06,363
0.00276,2.30084e-234,1,3.56636e-222,0,6.10255e+06,363
0.00278,5.59512e-233,1,7.61604e-221,1.11022e-16,6.10255e+06,363
0.0028,1.35276e-231,1,1.61703e-219,0,6.10255e+06,363
0.00282,3.25168e-230,1,3.41341e-218,0,6.10255e+06,363
0.00284,7.77078e-229,1,7.16353e-217,0,6.10255e+06,363
0.00286,1.84621e-227,1,1.49461e-215,1.11022e-16,6.10255e+06,363
0.00288,4.36064e-226,1,3.10017e-214,2.22045e-16,6.10255e+06,363
0.0029,1.02391e-224,1,6.39278e-213,0,6.10255e+06,363
0.00292,2.39003e-223,1,1.31049e-211,0,6.10255e+06,363
0.00294,5.54586e-222,1,2.67058e-210,1.11022e-16,6.10255e+06,363
0.00296,1.27923e-220,1,5.41007e-209,1.11022e-16,6.10255e+06,363
0.00298,2.93314e-219,1,1.08947e-207,4.44089e-16,6.10255e+06,363
0.003,6.68517e-218,1,2.18087e-206,0,6.10255e+06,363
0.00302,1.51453e-216,1,4.33956e-205,3.33067e-16,6.10255e+06,363
0.00304,3.4105e-215,1,8.58323e-204,7.77156e-16,6.10255e+06,363
0.00306,7.63353e-214,1,1.68747e-202,9.99201e-16,6.10255e+06,363
0.00308,1.6982e-212,1,3.29758e-201,8.88178e-16,6.10255e+06,363
0.0031,3.75491e-211,1,6.40499e-200,6.66134e-16,6.10255e+06,363
0.00312,8.25176e-210,1,1.23651e-198,3.33067e-16,6.10255e+06,363
0.00314,1.80227e-208,1,2.37259e-197,3.33067e-16,6.10255e+06,363
0.00316,3.91212e-207,1,4.52467e-196,3.33067e-16,6.10255e+06,363
0.00318,8.43938e-206,1,8.57591e-195,5.55112e-16,6.10255e+06,363
0.0032,1.80928e-204,1,1.61545e-193,4.44089e-16,6.10255e+06,363
0.00322,3.85467e-203,1,3.02427e-192,6.66134e-16,6.10255e+06,363
0.00324,8.16105e-202,1,5.62664e-191,5.55112e-16,6.10255e+06,363
0.00326,1.717e-200,1,1.04033e-189,6.66134e-16,6.10255e+06,363
0.00328,3.58964e-199,1,1.91152e-188,5.55112e-16,6.10255e+06,363
0.0033,7.45721e-198,1,3.49028e-187,8.88178e-16,6.10255e+06,363
0.00332,1.53935e-196,1,6.33298e-186,0,6.10255e+06,363
0.00334,3.15735e-195,1,1.14186e-184,3.33067e-16,6.10255e+06,363
0.00336,6.43459e-194,1,2.04581e-183,4.44089e-16,6.10255e+06,363
0.00338,1.30293e-192,1,3.64214e-182,5.55112e-16,6.10255e+06,363
0.0034,2.6213e-191,1,6.44281e-181,5.55112e-16,6.10255e+06,363
0.00342,5.23953e-190,1,1.13243e-179,3.33067e-16,6.10255e+06,363
0.00344,1.04049e-188,1,1.97769e-178,3.33067e-16,6.10255e+06,363
0.00346,2.05279e-187,1,3.43166e-177,6.66134e-16,6.10255e+06,363
0.00348,4.02344e-186,1,5.91616e-176,5.55112e-16,6.10255e+06,363
0.0035,7.83411e-185,1,1.01334e-174,2.22045e-16,6.10255e+06,363
0.00352,1.51533e-183,1,1.7244e-173,0,6.10255e+06,363
0.00354,2.91166e-182,1,2.91527e-172,1.11022e-16,6.10255e+06,363
0.00356,5.55747e-181,1,4.89633e-171,6.66134e-16,6.10255e+06,363
0.00358,1.05367e-179,1,8.16958e-170,2.22045e-16,6.10255e+06,363
0.0036,1.98434e-178,1,1.35412e-168,0,6.10255e+06,363
0.00362,3.71189e-177,1,2.22963e-167,0,6.10255e+06,363
0.00364,6.89655e-176,1,3.64682e-166,3.33067e-16,6.10255e+06,363
0.00366,1.27267e-174,1,5.92505e-165,2.22045e-16,6.10255e+06,363
0.00368,2.33256e-173,1,9.56213e-164,3.33067e-16,6.10255e+06,363
0.0037,4.24592e-172,1,1.53282e-162,4.44089e-16,6.10255e+06,363
0.00372,7.67578e-171,1,2.44057e-161,4.44089e-16,6.10255e+06,363
0.00374,1.37807e-169,1,3.85962e-160,1.11022e-16,6.10255e+06,363
0.00376,2.45701e-168,1,6.06229e-159,3.33067e-16,6.10255e+06,363
0.00378,4.35027e-167,1,9.45712e-158,6.66134e-16,6.10255e+06,363
0.0038,7.6487e-166,1,1.4652e-156,5.55112e-16,6.10255e+06,363
0.00382,1.33539e-164,1,2.25447e-155,1.11022e-15,6.10255e+06,363
0.00384,2.31509e-163,1,3.44495e-154,1.11022e-15,6.10255e+06,363
0.00386,3.98522e-162,1,5.22762e-153,1.55431e-15,6.10255e+06,363
0.00388,6.81158e-161,1,7.87763e-152,1.22125e-15,6.10255e+06,363
0.0039,1.15596e-159,1,1.17881e-150,7.77156e-16,6.10255e+06,363
0.00392,1.94772e-158,1,1.75162e-149,3.33067e-16,6.10255e+06,363
0.00394,3.25825e-157,1,2.58444e-148,9.99201e-16,6.10255e+06,363
0.00396,5.41131e-156,1,3.7863e-147,1.44329e-15,6.10255e+06,363
0.00398,8.92214e-155,1,5.50769e-146,1.77636e-15,6.10255e+06,363
0.004,1.4604e-153,1,7.95462e-145,1.77636e-15,6.10255e+06,363
0.00402,2.37298e-152,1,1.14064e-143,1.77636e-15,6.10255e+06,363
0.00404,3.82761e-151,1,1.62386e-142,1.77636e-15,6.10255e+06,363
0.00406,6.12852e-150,1,2.2951e-141,1.22125e-15,6.10255e+06,363
0.00408,9.74014e-149,1,3.22029e-140,1.22125e-15,6.10255e+06,363
0.0041,1.53654e-147,1,4.48554e-139,7.77156e-16,6.10255e+06,363
0.00412,6.08579e-147,1,1.66948e-138,7.77156e-16,6.10255e+06,363
0.00414,3.73896e-145,1,8.51294e-137,1.11022e-15,6.10255e+06,363
0.00416,5.76703e-144,1,1.15983e-135,5.55112e-16,6.10255e+06,363
0.00418,8.82809e-143,1,1.56849e-134,1.11022e-16,6.10255e+06,363
0.0042,1.34116e-141,1,2.10534e-133,8.88178e-16,6.10255e+06,363
0.00422,2.02199e-140,1,2.8048e-132,9.99201e-16,6.10255e+06,363
0.00424,3.02517e-139,1,3.70858e-131,1.11022e-16,6.10255e+06,363
0.00426,4.49134e-138,1,4.86655e-130,0,6.10255e+06,363
0.00428,6.61674e-137,1,6.33766e-129,1.11022e-16,6.10255e+06,363
0.0043,9.67252e-136,1,8.19057e-128,8.88178e-16,6.10255e+06,363
0.00432,1.40297e-134,1,1.05042e-126,1.44329e-15,6.10255e+06,363
0.00434,2.01909e-133,1,1.33676e-125,9.99201e-16,6.10255e+06,363
0.00436,2.883e-132,1,1.68801e-124,8.88178e-16,6.10255e+06,363
0.00438,4.08415e-131,1,2.11499e-123,1.22125e-15,6.10255e+06,363
0.0044,5.74001e-130,1,2.62928e-122,5.55112e-16,6.10255e+06,363
0.00442,8.00316e-129,1,3.24297e-121,5.55112e-16,6.10255e+06,363
0.00444,1.10696e-127,1,3.96834e-120,3.33067e-16,6.10255e+06,363.001
0.00446,4.10449e-127,1,1.38403e-119,0,6.10255e+06,363.001
0.00448,2.06718e-125,1,5.80166e-118,1.44329e-15,6.10255e+06,363.001
0.0045,2.79077e-124,1,6.93094e-117,1.88738e-15,6.10255e+06,363.001
0.00452,3.73705e-123,1,8.21335e-116,1.9984e-15,6.10255e+06,363.001
0.00454,4.96337e-122,1,9.65423e-115,2.10942e-15,6.10255e+06,363.001
0.00456,6.53812e-121,1,1.12555e-113,1.9984e-15,6.10255e+06,363.001
0.00458,8.54163e-120,1,1.3015e-112,1.55431e-15,6.10255e+06,363.001
0.0046,1.10668e-118,1,1.49257e-111,1.33227e-15,6.10255e+06,363.001
0.00462,1.42195e-117,1,1.69752e-110,1.22125e-15,6.10255e+06,363.001
0.00464,1.81179e-116,1,1.91455e-109,1.22125e-15,6.10255e+06,363.001
0.00466,2.28917e-115,1,2.14127e-108,1.33227e-15,6.10255e+06,363.001
0.00468,2.86797e-114,1,2.37468e-107,1.22125e-15,6.10255e+06,363.001
0.0047,3.56273e-113,1,2.61126e-106,9.99201e-16,6.10255e+06,363.001
0.00472,4.3882e-112,1,2.84696e-105,7.77156e-16,6.10255e+06,363.001
0.00474,5.35878e-111,1,3.07738e-104,1.22125e-15,6.10255e+06,363.001
0.00476,6.48792e-110,1,3.29781e-103,1.33227e-15,6.10255e+06,363.001
0.00478,7.7873e-109,1,3.50342e-102,1.33227e-15,6.10255e+06,363.001
0.0048,9.26599e-108,1,3.68943e-101,1.55431e-15,6.10255e+06,363.001
0.00482,1.09296e-106,1,3.85128e-100,7.77156e-16,6.10255e+06,363.001
0.00484,1.27792e-105,1,3.98479e-99,0,6.10255e+06,363.001
0.00486,1.48106e-104,1,4.08637e-98,1.11022e-15,6.10255e+06,363.001
0.00488,1.70135e-103,1,4.15316e-97,1.11022e-15,6.10255e+06,363.001
0.0049,1.93708e-102,1,4.18314e-96,2.10942e-15,6.10255e+06,363.001
0.00492,2.18583e-101,1,4.1753e-95,1.55431e-15,6.10255e+06,363.001
0.00494,2.44445e-100,1,4.1296e-94,1.44329e-15,6.10255e+06,363.001
0.00496,2.70907e-99,1,4.04706e-93,1.88738e-15,6.10255e+06,363.001
0.00498,2.97522e-98,1,3.92968e-92,5.55112e-16,6.10255e+06,363.001
0.005,3.23783e-97,1,3.78037e-91,7.77156e-16,6.10255e+06,363.001
0.00502,3.49147e-96,1,3.60285e-90,1.44329e-15,6.10255e+06,363.001
0.00504,3.73045e-95,1,3.40148e-89,1.9984e-15,6.10255e+06,363.001
0.00506,3.94905e-94,1,3.18106e-88,1.11022e-15,6.10255e+06,363.001
0.00508,4.14174e-93,1,2.94666e-87,5.55112e-16,6.10255e+06,363.001
0.0051,4.3034e-92,1,2.70345e-86,4.44089e-16,6.10255e+06,363.001
0.00512,1.38228e-91,1,8.15904e-86,4.44089e-16,6.10255e+06,363.001
0.00514,4.5165e-90,1,2.2104e-84,4.44089e-16,6.10255e+06,363.001
0.00516,4.56166e-89,1,1.9696e-83,3.33067e-16,6.10255e+06,363.001
0.00518,4.56351e-88,1,1.73782e-82,0,6.10255e+06,363.001
0.0052,4.52179e-87,1,1.51817e-81,4.44089e-16,6.10255e+06,363.001
